True=1.71,1.81,0.0;Est=1.0,1.5,0.0
True=10.62,3.87,0.0;Est=11.5,6.5,0.0
True=22.38,3.94,0.0;Est=23.5,5.0,0.0
True=32.68,3.48,0.0;Est=32.0,5.0,0.0
True=23.5,4.22,0.0;Est=23.5,5.5,0.0
True=11.39,5.0,0.0;Est=11.5,4.5,0.0
True=12.95,5.25,0.0;Est=11.0,4.5,0.0
True=21.84,5.16,0.0;Est=25.5,4.0,0.0
True=1.39,6.61,0.0;Est=1.5,5.5,0.0
True=21.45,6.62,0.0;Est=23.0,6.0,0.0
True=22.3,6.36,0.0;Est=22.0,5.5,0.0
True=6.0,7.88,0.0;Est=5.5,6.5,0.0
True=2.02,7.45,0.0;Est=1.5,6.0,0.0
True=2.49,7.6,0.0;Est=1.5,7.5,0.0
True=4.51,7.63,0.0;Est=4.5,8.0,0.0
True=9.08,7.24,0.0;Est=10.5,5.0,0.0
True=10.99,7.19,0.0;Est=11.0,6.5,0.0
True=11.76,7.76,0.0;Est=9.5,6.5,0.0
True=13.46,7.85,0.0;Est=12.5,3.5,0.0
True=14.98,7.55,0.0;Est=14.0,5.5,0.0
True=25.23,7.78,0.0;Est=23.0,6.0,0.0
True=28.12,7.57,0.0;Est=26.5,7.0,0.0
True=31.78,7.62,0.0;Est=31.5,7.5,0.0
True=32.16,7.08,0.0;Est=31.5,7.5,0.0
True=1.52,9.32,0.0;Est=1.0,8.0,0.0
True=0.78,10.94,0.0;Est=0.5,11.0,0.0
True=0.85,-18.55,0.0;Est=1.0,-15.75,0.0
True=1.15,-15.15,0.0;Est=1.0,-15.25,0.0
True=0.75,-13.05,0.0;Est=2.0,-12.75,0.0
True=-17.35,-11.2,0.0;Est=-14.0,-10.25,0.0
True=-2.05,-11.1,0.0;Est=-2.5,-10.25,0.0
True=1.55,-11.95,0.0;Est=1.0,-10.25,0.0
True=-23.0,-10.55,0.0;Est=-22.0,-9.75,0.0
True=-19.65,-10.7,0.0;Est=-16.0,-9.75,0.0
True=-12.9,-10.5,0.0;Est=-10.0,-9.75,0.0
True=-9.2,-10.75,0.0;Est=-8.5,-9.75,0.0
True=-6.35,-10.2,0.0;Est=-5.5,-10.75,0.0
True=-23.9,-9.65,0.0;Est=-20.0,-10.75,0.0
True=-15.5,-9.6,0.0;Est=-16.0,-9.75,0.0
True=-10.55,-9.9,0.0;Est=-9.5,-10.25,0.0
True=-4.1,-9.9,0.0;Est=-4.5,-9.75,0.0
True=-0.95,-9.95,0.0;Est=0.0,-9.75,0.0
True=1.2,-9.05,0.0;Est=1.0,-7.25,0.0
True=1.65,-6.3,0.0;Est=1.5,-4.25,0.0
True=1.2,-3.7,0.0;Est=2.0,-4.75,0.0
True=1.85,-2.25,0.0;Est=1.0,-2.75,0.0
