err=0.1802775637731992;percentage=0.021739130434782608
err=0.3206243908376282;percentage=0.043478260869565216
err=0.40162171256046475;percentage=0.06521739130434782
err=0.427200187265877;percentage=0.08695652173913043
err=0.4743416490252558;percentage=0.10869565217391304
err=0.5141984052872977;percentage=0.13043478260869565
err=0.5408326913195985;percentage=0.15217391304347827
err=0.6900724599634451;percentage=0.17391304347826086
err=0.7747257579298626;percentage=0.1956521739130435
err=0.8077747210701759;percentage=0.21739130434782608
err=0.8287943049997394;percentage=0.2391304347826087
err=0.8900000000000006;percentage=0.2608695652173913
err=0.9108238029388566;percentage=0.2826086956521739
err=0.99503768772846;percentage=0.30434782608695654
err=1.0212247548899311;percentage=0.32608695652173914
err=1.0756393447619883;percentage=0.34782608695652173
err=1.0767079455451236;percentage=0.3695652173913043
err=1.0917875251164941;percentage=0.391304347826087
err=1.1414026458704218;percentage=0.41304347826086957
err=1.171708154789408;percentage=0.43478260869565216
err=1.1926860441876566;percentage=0.45652173913043476
err=1.2280065146407007;percentage=0.4782608695652174
err=1.2806248474865702;percentage=0.5
err=1.320037878244408;percentage=0.5217391304347826
err=1.3741906709041511;percentage=0.5434782608695652
err=1.5572411502397434;percentage=0.5652173913043478
err=1.6651726637198918;percentage=0.5869565217391305
err=1.6800297616411444;percentage=0.6086956521739131
err=1.680773631397161;percentage=0.6304347826086957
err=1.767766952966369;percentage=0.6521739130434783
err=1.811077027627484;percentage=0.6739130434782609
err=1.9039432764659765;percentage=0.6956521739130435
err=2.0591260281974004;percentage=0.717391304347826
err=2.316246964380093;percentage=0.7391304347826086
err=2.3624775131204956;percentage=0.7608695652173914
err=2.39459808736247;percentage=0.782608695652174
err=2.4498979570586195;percentage=0.8043478260869565
err=2.5875084540924687;percentage=0.8260869565217391
err=2.6648076853686833;percentage=0.8478260869565217
err=2.680335799857921;percentage=0.8695652173913043
err=2.8040149785619914;percentage=0.8913043478260869
err=3.4091787867461574;percentage=0.9130434782608695
err=3.766165158354052;percentage=0.9347826086956522
err=3.7716044331292204;percentage=0.9565217391304348
err=4.05215991787096;percentage=0.9782608695652174err=12.474173319302565;percentage=1.0
