err=0.43908996800200234;percentage=0.021739130434782608
err=0.5503635162326804;percentage=0.043478260869565216
err=0.5700877125495689;percentage=0.06521739130434782
err=0.6876772498781675;percentage=0.08695652173913043
err=0.8121576201698788;percentage=0.10869565217391304
err=0.9338094023942995;percentage=0.13043478260869565
err=1.0756393447619883;percentage=0.15217391304347827
err=1.1704699910719618;percentage=0.17391304347826086
err=1.2042009799032716;percentage=0.1956521739130435
err=1.232233744059949;percentage=0.21739130434782608
err=1.3776792079435614;percentage=0.2391304347826087
err=1.439618004888797;percentage=0.2608695652173913
err=1.4840822079655833;percentage=0.2826086956521739
err=1.5849290204927164;percentage=0.30434782608695654
err=1.6378339354159204;percentage=0.32608695652173914
err=1.6651726637198918;percentage=0.34782608695652173
err=1.6944615663980107;percentage=0.3695652173913043
err=1.7000000000000004;percentage=0.391304347826087
err=1.7102631376487054;percentage=0.41304347826086957
err=1.8900000000000006;percentage=0.43478260869565216
err=1.9654007224991037;percentage=0.45652173913043476
err=1.9659603251337492;percentage=0.4782608695652174
err=2.07850908104824;percentage=0.5
err=2.1631689716709612;percentage=0.5217391304347826
err=2.279034883453959;percentage=0.5434782608695652
err=2.413503677229434;percentage=0.5652173913043478
err=2.6725456029785537;percentage=0.5869565217391305
err=2.7518175811634027;percentage=0.6086956521739131
err=2.8178005607210745;percentage=0.6304347826086957
err=2.8585485827601387;percentage=0.6521739130434783
err=3.0220026472523154;percentage=0.6739130434782609
err=3.318508701209024;percentage=0.6956521739130435
err=3.4404796177277372;percentage=0.717391304347826
err=3.7648505946451585;percentage=0.7391304347826086
err=3.7676517885813174;percentage=0.7608695652173914
err=3.943513661698157;percentage=0.782608695652174
err=3.979472326829275;percentage=0.8043478260869565
err=4.040420770167383;percentage=0.8260869565217391
err=4.407096549884062;percentage=0.8478260869565217
err=4.563441683641853;percentage=0.8695652173913043
err=4.6501827921061345;percentage=0.8913043478260869
err=5.001439792699698;percentage=0.9130434782608695
err=5.350233639758173;percentage=0.9347826086956522
err=5.842088667591413;percentage=0.9565217391304348
err=6.0903612372337985;percentage=0.9782608695652174err=7.2140487938466284;percentage=1.0
