err=0.1802775637731992;percentage=0.021739130434782608
err=0.2863564212655272;percentage=0.043478260869565216
err=0.3046309242345574;percentage=0.06521739130434782
err=0.37013511046643505;percentage=0.08695652173913043
err=0.427200187265877;percentage=0.10869565217391304
err=0.5119570294468081;percentage=0.13043478260869565
err=0.5220153254455276;percentage=0.15217391304347827
err=0.6900724599634451;percentage=0.17391304347826086
err=0.7747257579298626;percentage=0.1956521739130435
err=0.7823042886243149;percentage=0.21739130434782608
err=0.9108238029388566;percentage=0.2391304347826087
err=0.961769203083567;percentage=0.2608695652173913
err=0.9708243919473798;percentage=0.2826086956521739
err=0.9861541461658011;percentage=0.30434782608695654
err=0.99503768772846;percentage=0.32608695652173914
err=1.0124228365658294;percentage=0.34782608695652173
err=1.1067971810589334;percentage=0.3695652173913043
err=1.1154371340420761;percentage=0.391304347826087
err=1.2206555615733699;percentage=0.41304347826086957
err=1.2800000000000002;percentage=0.43478260869565216
err=1.2806248474865702;percentage=0.45652173913043476
err=1.2854960132182442;percentage=0.4782608695652174
err=1.3200378782444084;percentage=0.5
err=1.4187318280774561;percentage=0.5217391304347826
err=1.4677874505527018;percentage=0.5434782608695652
err=1.5404220200970904;percentage=0.5652173913043478
err=1.5420765220960997;percentage=0.5869565217391305
err=1.6651726637198918;percentage=0.6086956521739131
err=1.669401090211697;percentage=0.6304347826086957
err=1.7173526137634063;percentage=0.6521739130434783
err=1.7867568385205632;percentage=0.6739130434782609
err=1.811077027627484;percentage=0.6956521739130435
err=2.0554804791094465;percentage=0.717391304347826
err=2.089258241577617;percentage=0.7391304347826086
err=2.272201575564985;percentage=0.7608695652173914
err=2.5875084540924687;percentage=0.782608695652174
err=2.652168923730161;percentage=0.8043478260869565
err=2.773319310861986;percentage=0.8260869565217391
err=2.8040149785619914;percentage=0.8478260869565217
err=2.853296339324046;percentage=0.8695652173913043
err=2.995413160150032;percentage=0.8913043478260869
err=3.4820970692960307;percentage=0.9130434782608695
err=3.7716044331292204;percentage=0.9347826086956522
err=3.8394270405882183;percentage=0.9565217391304348
err=4.05215991787096;percentage=0.9782608695652174
err=4.45467170507547;percentage=1.0
