err=0.43908996800200234;percentage=0.021739130434782608
err=0.5408326913195988;percentage=0.043478260869565216
err=0.5503635162326804;percentage=0.06521739130434782
err=0.6140032573203503;percentage=0.08695652173913043
err=0.6802940540677976;percentage=0.10869565217391304
err=0.7138627319029891;percentage=0.13043478260869565
err=0.810061726043145;percentage=0.15217391304347827
err=0.8514693182963214;percentage=0.17391304347826086
err=0.9178779875342911;percentage=0.1956521739130435
err=0.9338094023942995;percentage=0.21739130434782608
err=0.979438614717634;percentage=0.2391304347826087
err=1.0071742649611337;percentage=0.2608695652173913
err=1.1795338062132845;percentage=0.2826086956521739
err=1.439618004888797;percentage=0.30434782608695654
err=1.4714618581533125;percentage=0.32608695652173914
err=1.549870962370739;percentage=0.34782608695652173
err=1.5849290204927164;percentage=0.3695652173913043
err=1.62077142126828;percentage=0.391304347826087
err=1.7102631376487054;percentage=0.41304347826086957
err=1.7269916039170539;percentage=0.43478260869565216
err=1.726991603917054;percentage=0.45652173913043476
err=1.981161275615895;percentage=0.4782608695652174
err=2.057668583615933;percentage=0.5
err=2.07850908104824;percentage=0.5217391304347826
err=2.24082574065901;percentage=0.5434782608695652
err=2.2737853900489378;percentage=0.5652173913043478
err=2.316246964380093;percentage=0.5869565217391305
err=2.413503677229434;percentage=0.6086956521739131
err=2.5243811122728674;percentage=0.6304347826086957
err=2.60161488310626;percentage=0.6521739130434783
err=2.6177280225416855;percentage=0.6739130434782609
err=2.745906043549197;percentage=0.6956521739130435
err=2.8178005607210745;percentage=0.717391304347826
err=2.8605593858544522;percentage=0.7391304347826086
err=3.07001628660175;percentage=0.7608695652173914
err=3.110064308016797;percentage=0.782608695652174
err=3.6466422912043357;percentage=0.8043478260869565
err=3.6503424496887966;percentage=0.8260869565217391
err=4.166881327803805;percentage=0.8478260869565217
err=4.370491963154721;percentage=0.8695652173913043
err=4.3833890997720015;percentage=0.8913043478260869
err=4.6501827921061345;percentage=0.9130434782608695
err=5.842088667591413;percentage=0.9347826086956522
err=6.493843238021686;percentage=0.9565217391304348
err=36.182937968053395;percentage=0.9782608695652174
err=39.0502880911268;percentage=1.0
