err=0.4504442251822085;percentage=0.021739130434782608
err=0.6103277807866849;percentage=0.043478260869565216
err=0.6946221994724898;percentage=0.06521739130434782
err=1.0733592129385205;percentage=0.08695652173913043
err=1.2081390648431158;percentage=0.10869565217391304
err=1.3152946437965913;percentage=0.13043478260869565
err=1.3201515064567404;percentage=0.15217391304347827
err=1.3928388277184127;percentage=0.17391304347826086
err=1.3943457247038837;percentage=0.1956521739130435
err=1.5882380174268593;percentage=0.21739130434782608
err=1.5890248582070705;percentage=0.2391304347826087
err=1.6101242188104614;percentage=0.2608695652173913
err=1.7042300314218148;percentage=0.2826086956521739
err=1.914418971907664;percentage=0.30434782608695654
err=1.9170811146114812;percentage=0.32608695652173914
err=1.9688067452139635;percentage=0.34782608695652173
err=2.055480479109447;percentage=0.3695652173913043
err=2.063492185592182;percentage=0.391304347826087
err=2.1333541665649425;percentage=0.41304347826086957
err=2.1520455385516364;percentage=0.43478260869565216
err=2.163631207022121;percentage=0.45652173913043476
err=2.200568108466538;percentage=0.4782608695652174
err=2.2800000000000002;percentage=0.5
err=2.2856071403458644;percentage=0.5217391304347826
err=2.330257496501191;percentage=0.5434782608695652
err=2.3505318547086302;percentage=0.5652173913043478
err=2.3799369739554033;percentage=0.5869565217391305
err=2.578158257361251;percentage=0.6086956521739131
err=2.6380485211610503;percentage=0.6304347826086957
err=2.675256997000475;percentage=0.6521739130434783
err=3.1503968004046725;percentage=0.6739130434782609
err=3.1662280397975135;percentage=0.6956521739130435
err=3.197327008612037;percentage=0.717391304347826
err=3.197655391063897;percentage=0.7391304347826086
err=3.384154251803544;percentage=0.7608695652173914
err=3.6582509481991536;percentage=0.782608695652174
err=3.94588393138977;percentage=0.8043478260869565
err=5.088418221805279;percentage=0.8260869565217391
err=5.166236541235796;percentage=0.8478260869565217
err=5.411330705103875;percentage=0.8695652173913043
err=6.05743344990269;percentage=0.8913043478260869
err=6.193561172701856;percentage=0.9130434782608695
err=6.213919857867496;percentage=0.9347826086956522
err=7.5081622252053135;percentage=0.9565217391304348
err=7.671505719218356;percentage=0.9782608695652174
err=7.801442174367507;percentage=1.0
