err=0.13000000000000037;percentage=0.021739130434782608
err=0.2863564212655272;percentage=0.043478260869565216
err=0.39000000000000057;percentage=0.06521739130434782
err=0.4743416490252558;percentage=0.08695652173913043
err=0.6016643582596521;percentage=0.10869565217391304
err=0.6576473218982951;percentage=0.13043478260869565
err=0.6999999999999993;percentage=0.15217391304347827
err=0.8121576201698788;percentage=0.17391304347826086
err=0.8321658488546619;percentage=0.1956521739130435
err=1.0124228365658294;percentage=0.21739130434782608
err=1.1067971810589325;percentage=0.2391304347826087
err=1.328533025558642;percentage=0.2608695652173913
err=1.3824615727028362;percentage=0.2826086956521739
err=1.4612323566086263;percentage=0.30434782608695654
err=1.6101242188104614;percentage=0.32608695652173914
err=1.6164467204334325;percentage=0.34782608695652173
err=1.650515071121739;percentage=0.3695652173913043
err=1.6565325230734231;percentage=0.391304347826087
err=1.6681726529349414;percentage=0.41304347826086957
err=1.6800297616411444;percentage=0.43478260869565216
err=1.7135343591536176;percentage=0.45652173913043476
err=1.8768324379123462;percentage=0.4782608695652174
err=2.0298029461009266;percentage=0.5
err=2.1505813167606553;percentage=0.5217391304347826
err=2.6931208662070856;percentage=0.5434782608695652
err=3.2031546949843057;percentage=0.5652173913043478
err=3.2328470424689137;percentage=0.5869565217391305
err=3.259601202601324;percentage=0.6086956521739131
err=3.318508701209024;percentage=0.6304347826086957
err=3.503426893771297;percentage=0.6521739130434783
err=3.6503424496887966;percentage=0.6739130434782609
err=3.6800543474247767;percentage=0.6956521739130435
err=3.943513661698157;percentage=0.717391304347826
err=4.0152833025827706;percentage=0.7391304347826086
err=4.027033647736259;percentage=0.7608695652173914
err=4.154274906647369;percentage=0.782608695652174
err=4.164048510764494;percentage=0.8043478260869565
err=4.276493891028023;percentage=0.8260869565217391
err=4.645696933722646;percentage=0.8478260869565217
err=4.970191143205662;percentage=0.8695652173913043
err=5.503635162326805;percentage=0.8913043478260869
err=5.842088667591413;percentage=0.9130434782608695
err=6.493843238021686;percentage=0.9347826086956522
err=6.644877726489781;percentage=0.9565217391304348
err=8.763133001387118;percentage=0.9782608695652174
err=9.803188256888674;percentage=1.0
